Time,Speed MPS,RPM,Power W,Torque
58.9,12.42,2028.3102,4269.631612,19.23894643
59.1,13.18,2152.4258,46045.59454,195.5172817
59.2,13.17,2150.7927,1086.634285,4.617534028
59.3,13.68,2234.0808,25062.66791,102.5306423
59.4,14.43,2356.5633,37935.46639,147.1267266
59.5,15.08,2462.7148,34947.44446,129.6959928
59.6,15.31,2500.2761,14245.05752,52.07166835
59.7,15.75,2572.1325,25825.01574,91.76403727
59.8,15.96,2606.4276,13965.89304,48.97205185
59.9,15.93,2601.5283,960.585565,3.374681232
60,16.23,2650.5213,19189.68046,66.170086
60.1,16.87,2755.0397,39181.61889,129.9809687
60.2,17.13,2797.5003,18258.06254,59.64991145
60.3,17.55,2866.0905,28249.94307,90.08509318
60.4,18,2939.58,30945.16588,96.21278497
60.5,18.37,3000.0047,26828.26191,81.73270213
60.6,18.46,3014.7026,9580.963698,29.0462435
60.7,19.25,3143.7175,55243.5225,160.6064952
60.8,19.43,3173.1133,16419.81847,47.29421559
60.9,19.76,3227.0056,26828.31857,75.98344679
61,20.16,3292.3296,32287.49126,89.63058886
61.1,20.3,3315.193,14811.83338,40.83431326
61.2,20.44,3338.0564,14981.14609,41.01820239
62.4,10.06,1642.8986,3490.996246,19.42065517
63.2,6.57,1072.9467,2278.451266,19.40827111
63.3,7.01,1144.8031,10510.3381,83.90950223
63.4,7.23,1180.7313,5684.501573,44.00140759
63.5,7.95,1298.3145,19068.70049,134.2352094
63.6,8.04,1313.0124,2890.467777,20.1198417
63.7,8.16,1332.6096,3767.375513,25.83813885
63.8,8.92,1456.7252,22703.35218,142.4418507
64,9.03,1474.6893,4856.489872,30.0986636
64.1,9.56,1561.2436,17472.2491,102.2829856
64.2,9.92,1620.0352,12692.68405,71.60680121
64.3,10.24,1672.2944,11796.12472,64.4691397
64.4,10.7,1747.417,17317.58939,90.57662544
64.5,11.34,1851.9354,25093.16207,123.8382519
64.6,11.68,1907.4608,14465.65394,69.31188413
64.7,11.85,1935.2235,7981.182627,37.69305812
64.8,12.3,2008.713,19816.85658,90.16586031
64.9,12.51,2043.0081,10225.24039,45.74342648
65,12.72,2077.3032,10436.84225,45.91921806
65.1,13.03,2127.9293,15109.57132,64.89633983
65.2,13.27,2167.1237,12335.47101,52.02322724
65.7,11.5,1878.065,2244.861176,10.92456429
65.8,12,1959.72,21240.89882,99.06132216
65.9,13.05,2131.1955,46367.53464,198.8455926
66,13.05,2131.1955,1498.564048,6.426540866
66.1,13.41,2189.9871,17862.7935,74.54749863
66.2,14.07,2297.7717,32778.39256,130.3785151
66.3,14.78,2413.7218,37048.20549,140.2830562
66.4,15.35,2506.8085,31635.31885,115.3390346
66.5,16.11,2630.9241,43462.20391,150.983219
66.6,16.9,2759.939,47545.27976,157.4465608
66.7,17.17,2804.0327,18891.24939,61.57477904
66.8,17.46,2851.3926,20485.3729,65.66169816
66.9,17.72,2893.8532,19100.0673,60.32310056
67,18.13,2960.8103,28804.51306,88.91503621
67.1,18.47,3016.3357,25160.51852,76.23688931
67.2,18.97,3097.9907,36176.97282,106.7277536
67.3,19.48,3181.2788,38027.73141,109.2506278
67.4,19.57,3195.9767,10632.18479,30.4049411
67.5,19.83,3238.4373,22290.14917,62.90754495
67.6,20.28,3311.9268,35924.83443,99.13780534
67.7,20.46,3341.3226,17775.799,48.6223536
67.8,20.53,3352.7543,10212.74753,27.83980074
67.9,20.49,3346.2219,2489.384166,6.799272393
68,20.83,3401.7473,29509.7565,79.28459862
68.1,21.19,3460.5389,31629.22914,83.53531732
68.2,21.26,3471.9706,10948.54366,28.82076938
68.3,21.77,3555.2587,43730.94045,112.4198144
68.4,22.1,3609.151,31270.17549,79.18638567
68.5,22.53,3679.3743,39687.50489,98.5836924
68.6,22.82,3726.7342,29646.76123,72.70664276
68.7,23.14,3778.9934,32597.119,78.83668226
68.8,23.3,3805.123,20335.06642,48.84297966
68.9,23.62,3857.3822,33581.28064,79.56642345
69,23.79,3885.1449,21884.81357,51.48264903
69.1,23.97,3914.5407,22980.90669,53.65517323
69.2,24.38,3981.4978,42552.0444,97.67855023
69.3,24.4,3984.764,10420.57717,23.90090929
69.5,24.13,3940.6703,18332.44258,42.51826039
69.6,24.46,3994.5626,36172.33026,82.76229222
69.7,24.54,4007.6274,15590.14948,35.5539778
69.8,24.83,4054.9873,33636.02981,75.81244186
69.9,25.14,4105.6134,35976.31023,80.0873313
70,25.39,4146.4409,31379.67742,69.16689019
71.3,15.27,2493.7437,1262.027634,4.625325528
71.5,15.48,2528.0388,30415.93594,109.9620188
71.6,15.91,2598.2621,25609.01979,90.08142589
71.7,16.29,2660.3199,23632.84967,81.19092401
71.8,16.78,2740.3418,30641.42031,102.1949444
71.9,17.47,2853.0257,43673.39711,139.9060662
72,17.55,2866.0905,8181.943072,26.09106511
72.1,17.93,2928.1483,26614.59581,83.0715017
72.2,18.37,3000.0047,31118.72662,94.80366718
72.3,18.79,3068.5949,30753.32156,91.59625661
72.4,18.99,3101.2569,17145.25264,50.5279176
72.5,19.2,3135.552,18072.0757,52.67678782
72.6,19.43,3173.1133,19699.37729,56.7403713
72.7,19.9,3249.869,36397.26743,102.3595055
72.8,20.12,3285.7972,20038.60527,55.73807811
72.9,20.39,3329.8909,23873.16051,65.52471916
73,20.75,3388.6825,30748.03632,82.93001813
73.1,21.09,3444.2079,30012.5277,79.64132376
74.6,11.03,1801.3093,23634.53156,119.9178856
74.7,11.69,1909.0939,26696.62328,127.8068991
75,11.1,1812.741,23082.76933,116.379747
75.1,11.67,1905.8277,23252.01216,111.5070076
75.2,11.94,1949.9214,12055.43903,56.50555959
75.3,12.11,1977.6841,8200.690567,37.89821524
75.4,13.07,2134.4617,42740.73358,183.0117021
75.5,13.26,2165.4906,10098.758,42.62230348
75.6,13.59,2219.3829,16787.78436,69.13315884
75.7,14.23,2323.9013,32269.94623,126.9129145
75.8,14.66,2394.1246,23250.59811,88.75904791
75.9,15.27,2493.7437,33449.46881,122.5921507
76,16.16,2639.0896,50416.64717,174.600338
76.1,16.62,2714.2122,28641.8642,96.44567074
76.2,17.09,2790.9679,30184.69952,98.84558364
76.3,17.29,2823.6299,14992.06097,48.52648364
76.4,17.52,2861.1912,17044.14971,54.44446246
76.5,17.76,2900.3856,17963.11352,56.6045222
76.6,18.3,2988.573,37048.27254,113.2998537
76.7,18.62,3040.8322,24177.90627,72.6693857
76.8,18.86,3080.0266,19517.94741,57.91684968
76.9,19.25,3143.7175,29778.11074,86.57228543
78.2,12.52,2044.6412,12749.06156,56.98838703
78.3,13,2123.03,22379.47765,96.34275678
78.4,13.99,2284.7069,47392.00542,189.5831993
78.5,14.12,2305.9372,8090.913254,32.06825469
78.6,14.61,2385.9591,26054.53549,99.80345933
78.7,15.08,2462.7148,26030.45623,96.60351176
78.8,15.59,2546.0029,29124.24765,104.5492872
78.9,16.16,2639.0896,33570.71776,116.2603822
79,16.51,2696.2481,22371.25312,75.83255948
79.1,16.92,2763.2052,26450.97689,87.48907669
79.2,17.3,2825.263,25450.34811,82.33037619
79.3,17.5,2857.925,15248.38235,48.76387402
80,15.27,2493.7437,36444.31587,133.5682516
80.1,15.53,2536.2043,16076.00967,57.93210096
80.3,15.44,2521.5064,27779.06356,100.6891747
80.4,15.73,2568.8663,17922.85215,63.76624969
80.7,15.57,2542.7367,28566.76256,102.6797703
80.8,15.84,2586.8304,17019.02967,60.13012324
80.9,16.33,2666.8523,29669.0178,101.6785772
81,16.74,2733.8094,26108.3034,87.28420753
81.1,17.48,2854.6588,46562.28029,149.0751615
81.7,14.76,2410.4556,5113.226059,19.3874688
81.8,15.12,2469.2472,20592.28831,76.21935951
81.9,15.26,2492.1106,9555.937733,35.04541874
82,15.66,2557.4346,23570.3295,84.23379587
82.1,15.68,2560.7008,3550.023232,12.6706126
82.4,15.39,2513.3409,15375.42949,55.91149592
83.5,10.72,1750.6832,6337.875907,33.08730709
83.6,11.42,1865.0002,27487.64162,134.7050421
83.7,11.46,1871.5326,2620.799231,12.7985748
83.8,11.75,1918.8925,12613.91809,60.07926567
83.9,12.07,1971.1517,14218.35573,65.92567445
84,12.32,2011.9792,11685.35891,53.0815779
84.1,12.44,2031.5764,6385.983264,28.72895782
84.5,11.69,1909.0939,11760.77034,56.30328495
84.6,12.43,2029.9433,31762.58471,143.0069629
84.7,12.62,2060.9722,9488.358074,42.0769437
84.8,13.46,2198.1526,39000.74357,162.1587183
84.9,13.92,2273.2752,23271.23224,93.56051872
85.5,13.16,2149.1596,36360.27268,154.6264261
85.6,13.89,2268.3759,35460.68884,142.8753798
85.7,14.29,2333.6999,21147.79574,82.82193142
85.8,14.76,2410.4556,25389.17312,96.26638762
85.9,14.99,2448.0169,13861.98611,51.75309207
86,15.42,2518.2402,24674.68576,89.5529162
86.1,16.41,2679.9171,56572.22429,192.9332808
86.2,16.96,2769.7376,34399.00582,113.5095806
