":LapTime",":Time","Speed","Speed Input","Steering Angle"
876,876,48.636,47.6,-128
877,877,40.752,40.6,-128
878,878,34.524,36.3,-128
879,879,43.812,45.9,-128
880,880,52.056,54.5,-128
881,881,60.768,65.1,-128
882,882,65.304,65,-128
883,883,61.92,62.1,-128
884,884,56.232,56.2,-128
885,885,44.532,40.7,-128
886,886,31.896,27.7,-128
887,887,35.784,40.7,-128
888,888,56.088,57,-128
889,889,54.036,52.9,-128
890,890,45.864,46.3,-128
891,891,43.056,45.1,-128
892,892,37.224,35.9,-128
893,893,48.996,51.5,-128
894,894,61.848,63.3,-128
895,895,59.904,60.2,-128
896,896,38.808,33.5,-128
897,897,23.76,22.5,-128
898,898,35.712,39.6,-128
899,899,47.592,50.8,-128
900,900,67.212,67.3,-128
901,901,82.404,83.9,-128
902,902,62.172,60.5,-128
903,903,45.576,43.3,-128
904,904,31.644,33.4,-128
905,905,40.752,42,-128
906,906,52.848,53.9,-128
907,907,51.948,50.6,-128
908,908,42.912,42.1,-128
909,909,42.12,39.7,-128
910,910,56.592,58.5,-128
911,911,69.156,70.3,-128
912,912,67.932,69.4,-128
913,913,59.04,59.8,-128
914,914,68.328,70.6,-128
915,915,68.076,68.8,-128
916,916,45.504,43.9,-128
917,917,39.168,38.7,-128
918,918,33.192,29.6,-128
919,919,36.324,38.3,-128
920,920,32.868,31.8,-128
921,921,36.684,37,-128
922,922,34.812,39.8,-128
923,923,42.948,45.4,-128
924,924,51.588,54.2,-128
925,925,63.216,63.2,-128
926,926,42.552,39.6,-128
927,927,23.148,21.5,-128
928,928,32.184,32.1,-128
929,929,45.468,46.4,-128
930,930,36.432,39.9,-128
931,931,46.944,49,-128
932,932,59.04,63,-128
933,933,73.296,75.9,-128
934,934,85.788,87.7,-128
935,935,69.048,65.9,-128
936,936,52.128,53.9,-128
937,937,56.412,58.2,-128
938,938,65.988,65.1,-128
939,939,40.428,41,-128
940,940,35.424,32.3,-128
941,941,37.224,38,-128
942,942,51.12,53.8,-128
943,943,63.648,62.9,-128
944,944,41.544,43.8,-128
945,945,53.244,54.2,-128
946,946,50.976,51.1,-128
947,947,48.96,45.5,-128
948,948,41.796,44.6,-128
949,949,50.688,48.9,-128
950,950,37.08,39.5,-128
951,951,36.324,34.9,-128
952,952,41.616,45.1,-128
953,953,54,56.7,-128
954,954,66.456,67.2,-128
955,955,37.332,35.9,-128
956,956,30.852,27.4,-128
957,957,30.708,30.8,-128
958,958,47.34,48.7,-128
959,959,42.192,39.6,-128
960,960,24.696,27.1,-128
961,961,29.844,34.6,-128
962,962,55.188,57.2,-128
963,963,65.52,64.1,-128
964,964,45.432,42.4,-128
965,965,34.272,31.3,-128
966,966,44.712,47,-128
967,967,37.512,31.5,-128
968,968,29.952,31.3,-128
969,969,39.996,43.2,-128
970,970,33.876,31.9,-128
971,971,31.968,35.3,-128
972,972,49.68,51.7,-128
973,973,43.668,43.1,-128
974,974,50.22,52.9,-128
975,975,51.228,51.9,-128
976,976,47.988,47.6,-128
977,977,44.244,44.5,-128
978,978,44.46,43.3,-128
979,979,27.288,26,-128
980,980,25.74,27.1,-128
981,981,42.732,44.9,-128
982,982,63.756,65.3,-128
