Time,SpeedMPS,RPM,PowerW,Torque,Efficiency_Percent,PowerLoss_W
852.7,7.44,1215.0264,0.011764706,8.84954e-05,82.8492669584493,0.0020177333191833
852.8,8,1306.48,15180.16,106.1937208,94.1341481545469,890.445695502726
852.9,9.11,1487.7541,32987.76038,202.6501503,90.6884324997192,3071.67757461458
853,9.3,1518.783,6587.448489,39.64119698,90.4121289611126,631.596065878459
853.1,9.5,1551.445,7068.410588,41.63999219,90.7707720277014,652.359727184609
853.2,10.06,1642.8986,19441.6786,108.1554116,95.5103894100024,872.855661298892
853.3,10.85,1771.9135,29097.70246,150.0864331,95.3152744538387,1363.14750048963
853.4,11.72,1913.9932,34620.70252,165.3182276,94.9455864761025,1749.87347023919
853.5,12.29,2007.0799,24621.60001,112.1183931,96.6422863308977,826.722829087461
853.6,12.61,2059.3391,14958.77009,66.38856429,94.6462277949175,800.858475300622
853.7,13.58,2217.7498,45006.2116,185.4749077,94.1932519403743,2613.39731879404
853.8,14.28,2332.0668,35183.52226,137.8870828,97.1094923457886,1016.98240394647
853.9,15.16,2475.7796,46453.56256,171.4874335,95.7290911163713,1983.98933013705
854,15.62,2550.9022,26607.68909,95.33197789,97.1136733922601,767.984809909367
854.1,16.46,2688.0826,48809.83842,165.9548752,96.3651396681571,1774.16945476518
854.2,16.94,2766.4714,30428.56204,100.5264855,97.4257822638615,783.297440885575
854.3,17.62,2877.5222,43530.81973,138.2621854,97.6972244882785,1002.41705679409
854.4,18.03,2944.4793,28606.62331,88.79394394,96.853933043238,899.983523401291
854.5,18.77,3065.3287,50571.37248,150.7831957,97.3705778119644,1329.73488878323
854.6,19.12,3122.4872,26961.68103,78.91717936,96.0225031760169,1072.40000666071
854.7,19.3,3151.883,16253.79978,47.13137095,92.4002996918607,1235.24007196501
854.8,18.95,3094.7245,0.011764706,3.47444e-05,83.3500017602352,0.00195882334191351
854.9,18.45,3013.0695,0.011764706,3.56859e-05,83.6083451268795,0.0019284300043573
855,18.02,2942.8462,0.011764706,3.65375e-05,83.8110542598006,0.00190458187083399
855.1,17.29,2823.6299,0.011764706,3.80801e-05,84.1137467397206,0.00186897099048729
855.2,16.93,2764.8383,0.011764706,3.88899e-05,84.2436413376122,0.00185368927293546
855.3,16.12,2632.5572,0.011764706,4.0844e-05,84.4887764337106,0.00182484984957667
855.4,15.46,2524.7726,0.011764706,4.25877e-05,84.6399229500272,0.00180706790630277
855.5,14.67,2395.7577,0.011764706,4.48811e-05,84.7628169511189,0.0017926097883827
855.6,14.03,2291.2393,0.011764706,4.69284e-05,84.8156499583131,0.00178639414041534
855.7,13.24,2162.2244,0.011764706,4.97285e-05,84.8228974374697,0.00178554149580015
855.8,12.87,2101.7997,0.011764706,5.11582e-05,84.8039267993715,0.00178777333559874
855.9,12.45,2033.2095,0.011764706,5.2884e-05,84.7649783139608,0.00179235551039876
856,11.81,1928.6911,0.011764706,5.57498e-05,84.6702882067295,0.0018034955231256
856.1,11.3,1845.403,0.011764706,5.8266e-05,84.5639090027481,0.00181601072371915
856.2,10.9,1780.079,0.011764706,6.04042e-05,84.460883428516,0.00182813137963237
856.3,10.57,1726.1867,0.011764706,6.229e-05,84.3633085007055,0.00183961078301899
856.4,10.24,1672.2944,0.011764706,6.42974e-05,84.253758309455,0.00185249904094205
856.5,9.44,1541.6464,0.011764706,6.97464e-05,83.9397688375675,0.00188943897918057
856.6,9.24,1508.9844,0.011764706,7.1256e-05,83.8505789924055,0.00189993190224574
856.7,8.85,1445.2935,0.011764706,7.43961e-05,83.6637592252938,0.00192191069859631
856.8,8.63,1409.3653,0.011764706,7.62927e-05,83.5511851308916,0.00193515470983489
856.9,8.32,1358.7392,0.011764706,7.91353e-05,83.3832207376101,0.00195491522688914
857,8.19,1337.5089,0.011764706,8.03914e-05,83.3097247390232,0.00196356181504465
857.1,8.74,1427.3294,16416.71445,105.1204684,94.6387180426888,880.146349791158
857.2,9.52,1554.7112,24954.29069,146.6968395,94.7077499649169,1320.64345779626
857.3,9.67,1579.2077,5594.476187,32.377658,89.6362570272401,579.797132692937
857.4,10.68,1744.1508,35943.4235,188.3478483,92.7766421472861,2596.32210392145
857.5,10.86,1773.5466,7534.649576,38.82806156,91.0514025728015,674.245458106361
857.6,11.46,1871.5326,23904.75217,116.7379611,96.3072368958872,882.745868263368
857.7,11.7,1910.727,10601.07899,50.70802372,92.8097418231809,762.24494890953
857.8,12.08,1972.7848,16633.15525,77.0584347,95.2672856221888,787.199730000414
857.9,13.12,2142.6272,46228.16568,197.1901884,92.9759242921843,3247.10135569769
858,13.46,2198.1526,17046.03768,70.87463907,95.2470910514367,810.182650268185
858.1,13.85,2261.8435,19930.72931,80.53522814,96.0250852223421,792.229504638182
858.2,13.55,2212.8505,0.011764706,4.85908e-05,84.8276526462826,0.00178498205946364
858.3,13.39,2186.7209,0.011764706,4.91714e-05,84.8264335172666,0.00178512548640813
858.4,12.87,2101.7997,0.011764706,5.11582e-05,84.8039267993715,0.00178777333559874
858.5,12.38,2021.7778,0.011764706,5.3183e-05,84.756821973465,0.00179331507987844
858.6,12.08,1972.7848,0.011764706,5.45038e-05,84.7154578154282,0.00179818145146085
858.7,11.53,1882.9643,0.011764706,5.71037e-05,84.6152751144552,0.00180996765169319
858.8,11.23,1833.9713,0.011764706,5.86292e-05,84.5469533773848,0.0018180055031936
858.9,10.82,1767.0142,0.011764706,6.08508e-05,84.4383958777859,0.00183077697386237
859,10.52,1718.0212,0.011764706,6.25861e-05,84.3473019419552,0.00184149390759669
859.1,9.95,1624.9345,0.011764706,6.61714e-05,84.1480104102626,0.00186493997038321
859.2,9.76,1593.9056,0.011764706,6.74596e-05,84.0736656404063,0.00187368641398318
859.3,9.39,1533.4809,0.011764706,7.01177e-05,83.917857079261,0.00189201683312476
859.4,9.36,1528.5816,0.011764706,7.03425e-05,83.9047100246322,0.00189356354544949
859.5,9.9,1616.769,18467.80696,104.3981031,95.3552512042365,857.783241378521
859.6,10.53,1719.6543,22806.1965,121.2095857,95.832994418653,950.335481047963
859.7,10.81,1765.3811,11102.62782,57.47944468,93.1594875865504,759.476634246212
859.8,10.87,1775.1797,3141.818077,16.17573286,87.5745212912977,390.385936223795
859.9,11.08,1809.4748,8833.220983,44.61612117,91.870669571984,718.081721144916
860,10.9,1780.079,0.011764706,6.04042e-05,84.460883428516,0.00182813137963237
860.1,11.08,1809.4748,7719.109218,38.98880294,91.1584619718348,682.487976945073
860.2,10.64,1737.6184,0.011764706,6.18802e-05,84.3848304543213,0.00183707878845063
860.3,10.59,1729.4529,0.011764706,6.21724e-05,84.3694754291481,0.00183888526201849
860.4,10.54,1721.2874,0.011764706,6.24673e-05,84.3537045653928,0.00184074065777296
860.5,10.16,1659.2296,0.011764706,6.48037e-05,84.2254387001811,0.00185583075971347
860.6,9.94,1623.3014,0.011764706,6.6238e-05,84.1441548052483,0.00186539357097766
860.7,10.18,1662.4958,9016.70492,49.56927365,92.0453687406838,717.245628126622
860.8,10.35,1690.2585,6766.793321,36.58937896,90.5380288665762,640.272030691471
860.9,10.9,1780.079,20866.94018,107.1382995,95.94768364891,845.594428886305
861,11.12,1816.0072,9243.103554,46.51847911,92.1133932338671,728.967230290437
861.1,11.48,1874.7988,14943.50759,72.84892313,94.7428215704955,785.606857632849
861.2,11.59,1892.7629,5420.55175,26.17414686,89.4733014107696,570.605144595755
861.3,11.03,1801.3093,0.011764706,5.96923e-05,84.4962119873784,0.00182397507854818
861.4,10.55,1722.9205,0.011764706,6.24081e-05,84.356905877147,0.00184036403285693
861.5,10.34,1688.6254,0.011764706,6.36756e-05,84.2882377667056,0.00184844263416612
861.6,10.03,1637.9993,0.011764706,6.56436e-05,84.1779934986893,0.00186141254818009
861.7,9.67,1579.2077,0.011764706,6.80875e-05,84.0371074368776,0.00187798737914721
861.8,9.67,1579.2077,684.0938338,3.959147462,84.8358301192075,103.737151101459
861.9,9.51,1553.0781,0.011764706,6.9233e-05,83.9700265314172,0.00188587925045676
862,9.54,1557.9774,1636.130969,9.598031402,85.8593521286181,231.359519040919
862.1,9.21,1504.0851,0.011764706,7.14881e-05,83.8367015773269,0.00190156453933012
862.2,9.27,1513.8837,2506.958607,15.13491217,86.7253616399916,332.789688914354
862.3,9.48,1548.1788,7367.761223,43.49503466,90.9855295696707,664.164656824602
862.4,9.27,1513.8837,0.011764706,7.10254e-05,83.86412248715,0.00189833854990692
862.5,8.47,1383.2357,0.011764706,7.77338e-05,83.4657543436613,0.00194520539078601
862.6,8.32,1358.7392,0.011764706,7.91353e-05,83.3832207376101,0.00195491522688914
862.7,7.98,1303.2138,0.011764706,8.2507e-05,83.1870679641443,0.00197799202399824
862.8,7.82,1277.0842,0.011764706,8.41951e-05,83.0903284392806,0.00198937314468425
862.9,8.11,1324.4441,8325.252853,57.44987054,91.6117985743118,698.338978507489
863,8.44,1378.3364,9805.819121,65.02103934,92.4936853802014,736.055634270626
863.1,8.56,1397.9336,3986.122757,26.06089824,88.1052701756642,474.138532411515
863.2,8.67,1415.8977,3755.21954,24.23978205,87.8925710891004,454.660536253711
863.3,8.76,1430.5956,3211.387096,20.51639386,87.3561828057892,406.041913816716
