Time,SpeedMPS,RPM,PowerW,Torque,RpmFiltered,Efficiency_Percent,PowerLoss_W
48.9,20.33,3320.0923,25142.14603,69.21136935,3320.0923,94.8202283118046,1302.30576186668
49,20.5,3347.855,17136.50118,46.78221386,3347.855,91.8919838040291,1389.43029109714
49.1,20.45,3339.6895,1766.051375,4.833063451,3339.6895,83.6421388869907,288.888231106891
49.2,20.76,3390.3156,27283.64394,73.55081679,3390.3156,95.1213206929712,1331.08149110419
49.3,21.02,3432.7762,24221.34445,64.48786664,3432.7762,94.0539439145563,1440.2147256455
49.4,21.34,3485.0354,29066.96864,76.2285753,3485.0354,95.180035152367,1401.01767072051
49.5,21.84,3566.6904,43183.35808,110.6563277,3566.6904,97.2179136765236,1201.3982991615
49.6,22.03,3597.7193,20733.09445,52.66985283,3597.7193,92.0369014403535,1650.99674551809
49.7,22.33,3646.7123,29475.25185,73.87224157,3646.7123,94.5473930094588,1607.16964285272
49.8,22.38,3654.8778,10630.7594,26.58377687,3654.8778,87.2359625908199,1356.91410669593
50.4,19.37,3163.3147,11094.39554,32.05431501,3163.3147,89.9472699882956,1115.28963006678
50.5,19.51,3186.1781,13881.83967,39.82008938,3186.1781,91.206412980766,1220.71165125199
50.6,19.65,3209.0415,14043.54221,39.99692329,3209.0415,91.1806536648154,1238.54862522774
50.7,20,3266.2,28607.5,80.05019365,3266.2,95.9253894743021,1165.64420613903
50.8,20.18,3295.5958,17399.94061,48.25464,3295.5958,92.2441973841263,1349.50504899085
50.9,20.43,3336.4233,22563.08314,61.80769576,3336.4233,93.9555893350721,1363.8054036507
51,20.58,3360.9198,15849.03295,43.09926598,3360.9198,91.2841259889127,1381.38174389771
51.1,20.72,3383.7832,15323.92106,41.38973357,3383.7832,90.942240386803,1388.00393293087
51.2,21.41,3496.4671,55589.15946,145.3067924,3496.4671,97.4120829178729,1438.60135347623
51.3,21.54,3517.6974,15629.94324,40.60917605,3517.6974,90.3922342176551,1501.68833841265
51.4,22.23,3630.3813,58206.03085,146.5348751,3630.3813,97.2576255226399,1596.22733431476
51.5,22.42,3661.4102,21324.36302,53.22956718,3661.4102,91.9095979261026,1725.22670801549
51.6,22.56,3684.2736,17719.14434,43.95579371,3684.2736,90.3651733226195,1707.20884587387
51.7,23.04,3762.6624,44753.18605,108.7061113,3762.6624,96.7850037539023,1438.81325151663
51.8,23.04,3762.6624,7414.833113,18.01073275,3762.6624,84.8713083264065,1121.76723977729
53,14.54,2374.5274,1516.588513,5.837351314,2374.5274,86.0517296629253,211.537865694261
53.5,11.77,1922.1587,5533.47027,26.31077217,1922.1587,89.5463195534625,578.451299629957
53.7,11.42,1865.0002,9539.029859,46.74665933,1865.0002,92.2547975641647,738.817172994324
53.8,12.21,1994.0151,33098.26427,151.7057463,1994.0151,95.8805990502194,1363.45021269926
53.9,12.81,2092.0011,27034.06549,118.1067469,2092.0011,96.8755900421629,844.655034177764
54,13.47,2199.7857,31221.11924,129.7159403,2199.7857,97.0269252886461,928.227200726089
54.1,14.2,2319.002,36343.3877,143.2351274,2319.002,96.9278505046394,1116.5232018225
54.2,14.85,2425.1535,34344.74406,129.4333842,2425.1535,97.4259479462527,884.051589830684
55.3,10.12,1652.6972,10972.25842,60.67754362,1652.6972,93.1265339675949,754.174455486404
55.4,10.38,1695.1578,9911.509169,53.43858002,1695.1578,92.5551855944076,737.893462425322
55.5,10.89,1778.4459,19432.12514,99.8630658,1778.4459,95.7870894449228,818.658051098861
55.7,10.91,1781.7121,7210.158973,36.98559125,1781.7121,90.8256331752401,661.486432831361
56,10.07,1644.5317,20110.93518,111.7674318,1644.5317,95.5571928899233,893.490058079953
56.1,10.97,1791.5107,33247.63901,169.6159382,1791.5107,94.3227754203206,1887.54313403881
56.6,9.77,1595.5387,14719.81943,84.31801906,1595.5387,94.5850567989483,797.069861431872
56.7,10.88,1776.8128,40026.39621,205.8875428,1776.8128,91.2387639737483,3506.80704476075
56.8,10.87,1775.1797,551.7769005,2.84083786,1775.1797,85.0401945906318,82.5447506086434
56.9,11.77,1922.1587,35895.95851,170.6795808,1922.1587,94.6247682036055,1929.4909754501
57,11.98,1956.4538,9699.576122,45.31149731,1956.4538,92.2720732966514,749.576133243666
